"","His.PoverPop","His.Pop","His.PoverGap","Curren.PoverPop","Curren.Pop","Curren.PoverGap"
"UKR",-2829.50680828902,-2829.50680828902,-2829.50680828902,-1377.0639438909,-1377.0639438909,-1377.0639438909
"URY",0.950320369544723,57.0387828738244,0.467682815453749,0.950320369544723,57.0387828738244,0.467682815453749
"USA",-38762.9593385084,-38762.9593385084,-38762.9593385084,-37936.3251859278,-37936.3251859278,-37936.3251859278
"UZB",3681.03005633282,537.561000041362,31782.1651142903,3681.03005633282,537.561000041362,31782.1651142903
"VEN",288.634128895816,487.999683607694,364.077604435098,288.634128895816,487.999683607694,364.077604435098
"VNM",156.957005477601,1570.10850285705,63.5302781172145,156.957005477601,1570.10850285705,63.5302781172145
"VUT",3.9473893169741,4.73849218400329,1.81282335414179,3.9473893169741,4.73849218400329,1.81282335414179
"WSM",0.324128945678448,3.24240139574049,0.117851400018237,0.324128945678448,3.24240139574049,0.117851400018237
"YEM",762.006782689811,461.980722758079,314.276347302388,762.006782689811,461.980722758079,314.276347302388
"ZAF",1615.87728231813,946.203872957431,3053.26995742206,1615.87728231813,946.203872957431,3053.26995742206
"ZMB",1430.75947143089,279.723185651282,1430.77910263155,1430.75947143089,279.723185651282,1430.77910263155
"ZWE",783.420072345345,236.288088883986,600.422551865554,783.420072345345,236.288088883986,600.422551865554
